state;policy_target;value_target
[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 4, 4, 4, 4, 4, 4, 2, 2, 2, 1, 1, 1, 1, 1, 1, 3, 3, 3, 2, 2, 2, 2, 2, 2, 4, 4, 4, 3, 3, 3, 3, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5];[0.0007567158531971245, 0.0011350737797956867, 0.0018917896329928112, 0.0007567158531971245, 0.0007567158531971245, 0.001513431706394249, 0.0007567158531971245, 0.001513431706394249, 0.001513431706394249, 0.0011350737797956867, 0.0011350737797956867, 0.0007567158531971245, 0.0011350737797956867, 0.5259175179720015, 0.0018917896329928112, 0.4623533863034431, 0.0007567158531971245, 0.0007567158531971245];0.7071067811865475
[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3, 3, 3, 4, 4, 4, 2, 2, 2, 4, 4, 4, 1, 1, 1, 3, 3, 3, 1, 1, 1, 2, 2, 2, 4, 4, 4, 2, 2, 2, 3, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5];[0.0, 0.4, 0.4, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.03162277660168379
[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 4, 4, 4, 1, 1, 1, 2, 2, 2, 1, 1, 1, 2, 2, 2, 3, 3, 3, 2, 2, 2, 3, 3, 3, 4, 4, 4, 3, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5];[0.0014388489208633094, 0.007913669064748202, 0.10215827338129496, 0.05251798561151079, 0.051798561151079135, 0.0014388489208633094, 0.10647482014388489, 0.0014388489208633094, 0.0057553956834532375, 0.0014388489208633094, 0.0014388489208633094, 0.15611510791366906, 0.006474820143884892, 0.09424460431654676, 0.2302158273381295, 0.0014388489208633094, 0.045323741007194246, 0.14388489208633093];1.0
[4, 3, 4, 0, 0, 0, 0, 0, 0, 1, 1, 1, 4, 4, 4, 1, 1, 1, 2, 2, 0, 1, 1, 0, 2, 2, 0, 3, 2, 3, 3, 2, 3, 3, 2, 3, 5, 4, 4, 5, 3, 3, 5, 4, 4, 5, 5, 5, 5, 5, 5, 2, 1, 2];[0.027777777777777776, 0.027777777777777776, 0.027777777777777776, 0.027777777777777776, 0.027777777777777776, 0.75, 0.027777777777777776, 0.027777777777777776, 0.027777777777777776, 0.027777777777777776, 0.027777777777777776, 0.027777777777777776, 0.027777777777777776, 0.027777777777777776, 0.027777777777777776, 0.027777777777777776, 0.027777777777777776, 0.027777777777777776];0.7071067811865475
[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 4, 4, 4, 1, 1, 1, 2, 2, 2, 1, 1, 1, 2, 2, 2, 3, 3, 3, 2, 2, 2, 3, 3, 3, 4, 4, 4, 3, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5];[0.1111111111111111, 0.037037037037037035, 0.1111111111111111, 0.05555555555555555, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.4074074074074074, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.1111111111111111, 0.037037037037037035, 0.037037037037037035, 0.05555555555555555, 0.037037037037037035];1.0
[0, 0, 0, 0, 0, 0, 4, 3, 4, 1, 4, 1, 1, 4, 1, 1, 4, 1, 0, 2, 2, 0, 1, 1, 0, 2, 2, 3, 3, 3, 2, 2, 2, 3, 3, 3, 4, 4, 5, 3, 3, 5, 4, 4, 5, 2, 1, 2, 5, 5, 5, 5, 5, 5];[0.3333333333333333, 0.0, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.0];0.7071067811865475
[0, 1, 0, 0, 4, 0, 0, 1, 0, 1, 5, 1, 4, 5, 4, 1, 5, 1, 2, 2, 2, 1, 1, 1, 2, 2, 2, 3, 0, 3, 2, 0, 2, 3, 0, 3, 4, 4, 4, 3, 3, 3, 4, 4, 4, 5, 3, 5, 5, 2, 5, 5, 3, 5];[0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.18181818181818182, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091, 0.09090909090909091];0.7071067811865475
[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 4, 4, 4, 1, 1, 1, 2, 2, 2, 1, 1, 1, 2, 2, 2, 3, 3, 3, 2, 2, 2, 3, 3, 3, 4, 4, 4, 3, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5];[0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5];1.0
[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 4, 4, 4, 2, 2, 2, 2, 2, 2, 1, 1, 1, 3, 3, 3, 3, 3, 3, 2, 2, 2, 4, 4, 4, 4, 4, 4, 3, 3, 3, 1, 1, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5];[0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333];0.7071067811865475
[0, 0, 0, 4, 3, 4, 0, 0, 0, 1, 1, 1, 4, 4, 4, 1, 1, 1, 2, 0, 2, 1, 0, 1, 2, 0, 2, 3, 3, 3, 2, 2, 2, 3, 3, 3, 4, 5, 4, 3, 5, 3, 4, 5, 4, 5, 5, 5, 2, 1, 2, 5, 5, 5];[0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0];0.7071067811865475
